Date,Party Name,Amount,Expense Type,Product
2025-03-03,Sri Traders,13105.11,Packing,Moong Dust
2024-06-15,Amman Agencies,79847.76,Packing,Toor Dhall
2024-08-23,Balaji & Co,100000,Transport,Toor Dust
2024-06-01,Balaji & Co,71686.72,Packing,Toor Dhall
2024-07-13,Sri Traders,36036.89,Transport,Moong Dhall
2025-02-25,Vasanth Stores,30063.98,Transport,Orid Polish
2024-07-28,Balaji & Co,38327.83,Transport,Moong Dust
2024-08-05,Amman Agencies,76817.36,Packing,Orid Dhall
2024-06-20,Balaji & Co,28390.36,Transport,Moong Dust
2024-05-01,Sri Traders,55645.28,Packing,Toor Dhall
2024-08-13,Vasanth Stores,70186.9,Packing,Orid Dhall
2024-08-08,Sri Traders,70395.67,Packing,Orid Dust
2024-10-04,Balaji & Co,20041.16,Office Supplies,Moong Dust
2024-08-05,Sri Traders,100000,Packing,Orid Polish
2024-08-26,Amman Agencies,100000,Packing,Toor Dust
2024-06-02,Amman Agencies,84637.69,Office Supplies,Toor Dhall
2024-10-15,Amman Agencies,23195.55,Transport,Moong Dhall
2024-07-14,Sri Traders,62856.92,Transport,Orid Dhall
2024-08-19,Balaji & Co,78749.17,Maintenance,Orid Dhall
2025-02-02,Balaji & Co,15050.7,Maintenance,Moong Dust
2024-07-31,Sri Traders,39878.52,Office Supplies,Moong Dhall
2024-06-03,Ganesh Suppliers,35272.44,Salary,Moong Dhall
2024-07-25,Sri Traders,57178.6,Transport,Orid Dust
2024-06-03,Ganesh Suppliers,33996.25,Transport,Moong Dust
2024-11-13,Ganesh Suppliers,24365.3,Packing,Orid Polish
2024-05-21,Amman Agencies,43731.15,Office Supplies,Orid Polish
2024-08-21,Ganesh Suppliers,99985.43,Transport,Orid Polish
2024-08-23,Amman Agencies,88846.84,Maintenance,Toor Dust
2024-09-08,Amman Agencies,100000,Packing,Toor Dust
2024-06-03,Amman Agencies,34827.27,Packing,Moong Dust
2024-08-15,Vasanth Stores,90610.85,Salary,Orid Polish
2024-07-13,Amman Agencies,39270.38,Salary,Moong Dhall
2025-01-06,Ganesh Suppliers,8142.6,Transport,Moong Dust
2025-01-11,Ganesh Suppliers,13250.54,Transport,Orid Dust
2024-07-12,Balaji & Co,68636.6,Salary,Toor Dhall
2024-08-20,Ganesh Suppliers,87114.84,Transport,Orid Polish
2024-05-31,Balaji & Co,52127.39,Transport,Orid Polish
2024-06-24,Sri Traders,35934.64,Salary,Moong Dhall
2024-06-23,Vasanth Stores,57525.59,Transport,Orid Polish
2024-05-02,Amman Agencies,46954.19,Maintenance,Orid Dust
2024-05-16,Amman Agencies,36856.51,Transport,Moong Dhall
2024-07-21,Amman Agencies,53840.45,Packing,Orid Polish
2024-04-15,Ganesh Suppliers,37100.3,Packing,Orid Polish
2024-06-21,Amman Agencies,42321.18,Maintenance,Orid Dust
2025-01-14,Balaji & Co,10241.54,Packing,Orid Dust
2024-08-25,Amman Agencies,100000,Transport,Toor Dhall
2024-11-29,Amman Agencies,14975.19,Packing,Moong Dhall
2024-08-08,Ganesh Suppliers,63807.08,Packing,Moong Dhall
2024-11-20,Balaji & Co,25736.18,Transport,Toor Dust
2025-03-21,Vasanth Stores,18548.96,Transport,Moong Dhall
2024-06-30,Ganesh Suppliers,53095.38,Transport,Orid Polish
2024-08-01,Sri Traders,70967.82,Packing,Orid Dhall
2024-07-10,Amman Agencies,100000,Packing,Toor Dhall
2024-10-20,Amman Agencies,19969.0,Packing,Moong Dust
2024-08-03,Amman Agencies,95615.78,Packing,Toor Dust
2024-07-24,Balaji & Co,55600.49,Packing,Orid Dust
2024-04-11,Ganesh Suppliers,34927.92,Maintenance,Moong Dhall
2024-07-21,Sri Traders,59546.5,Transport,Orid Polish
2024-06-13,Ganesh Suppliers,31850.66,Packing,Moong Dhall
2024-12-07,Vasanth Stores,13071.77,Transport,Orid Dust
2024-08-25,Vasanth Stores,100000,Packing,Toor Dhall
2024-11-12,Vasanth Stores,19406.65,Transport,Moong Dhall
2024-11-07,Ganesh Suppliers,15747.49,Transport,Moong Dust
2024-10-09,Balaji & Co,30401.57,Transport,Orid Dust
2024-05-08,Amman Agencies,57293.49,Transport,Orid Dhall
2024-11-08,Balaji & Co,31496.41,Office Supplies,Toor Dust
2025-03-13,Balaji & Co,12489.96,Packing,Moong Dust
2024-05-31,Amman Agencies,29203.89,Transport,Moong Dust
2024-04-04,Sri Traders,54272.69,Packing,Toor Dhall
2024-10-27,Vasanth Stores,26525.1,Transport,Moong Dhall
2024-08-03,Amman Agencies,87965.24,Packing,Orid Dhall
2024-09-22,Sri Traders,86992.67,Packing,Toor Dhall
2024-08-27,Vasanth Stores,100000,Packing,Toor Dust
2024-08-20,Sri Traders,54245.35,Maintenance,Moong Dhall
2024-05-18,Amman Agencies,72876.9,Salary,Toor Dhall
2024-07-22,Sri Traders,78518.82,Salary,Toor Dust
2024-05-10,Amman Agencies,28191.13,Packing,Moong Dust
2024-07-15,Ganesh Suppliers,35235.35,Transport,Moong Dust
2025-02-23,Balaji & Co,17030.75,Transport,Moong Dust
2024-05-03,Sri Traders,65723.59,Maintenance,Toor Dhall
2025-03-18,Balaji & Co,18887.29,Transport,Orid Dust
2024-07-13,Sri Traders,59309.7,Transport,Toor Dust
2025-03-29,Sri Traders,25602.85,Transport,Orid Dhall
2024-06-28,Vasanth Stores,51639.73,Transport,Orid Dust
2024-08-02,Balaji & Co,86246.23,Transport,Orid Dhall
2024-07-12,Ganesh Suppliers,55987.67,Salary,Orid Dhall
2024-09-20,Vasanth Stores,63840.54,Transport,Orid Dhall
2024-12-21,Amman Agencies,16329.48,Transport,Orid Dust
2024-12-21,Sri Traders,15728.09,Transport,Orid Dust
2025-01-29,Amman Agencies,13639.31,Transport,Toor Dust
2024-05-02,Ganesh Suppliers,46607.32,Transport,Orid Dhall
2024-08-27,Amman Agencies,90253.43,Maintenance,Orid Dhall
2024-08-05,Sri Traders,48182.1,Maintenance,Moong Dust
2024-09-27,Balaji & Co,100000,Packing,Toor Dhall
2024-07-01,Amman Agencies,47154.47,Packing,Moong Dhall
2024-06-04,Sri Traders,75030.83,Packing,Toor Dhall
2024-04-23,Amman Agencies,26658.64,Packing,Moong Dust
2024-08-08,Ganesh Suppliers,78388.24,Packing,Orid Dust
2024-04-01,Balaji & Co,52623.51,Transport,Toor Dust
2024-06-21,Amman Agencies,75689.34,Packing,Toor Dhall
2024-07-13,Ganesh Suppliers,54785.34,Transport,Orid Dust
2024-08-10,Amman Agencies,100000,Packing,Toor Dhall
2024-07-26,Sri Traders,71132.02,Packing,Orid Polish
2024-08-08,Vasanth Stores,55399.92,Office Supplies,Moong Dhall
2024-05-09,Amman Agencies,63601.31,Transport,Toor Dhall
2025-03-09,Ganesh Suppliers,20104.84,Packing,Orid Dust
2024-09-10,Balaji & Co,78165.94,Maintenance,Orid Dhall
2024-09-30,Sri Traders,69604.17,Transport,Orid Dhall
2024-05-18,Sri Traders,73366.22,Transport,Toor Dust
2024-08-28,Ganesh Suppliers,100000,Packing,Toor Dhall
2024-12-08,Vasanth Stores,11659.07,Transport,Moong Dhall
2025-03-20,Vasanth Stores,15282.29,Packing,Moong Dust
2024-07-27,Sri Traders,84363.06,Packing,Toor Dhall
2024-09-27,Balaji & Co,72956.33,Packing,Orid Polish
2024-08-15,Balaji & Co,72680.84,Office Supplies,Orid Dust
2024-07-31,Sri Traders,37174.94,Transport,Moong Dust
2025-02-04,Amman Agencies,38905.36,Transport,Toor Dust
2024-09-24,Ganesh Suppliers,86490.61,Maintenance,Toor Dust
2024-05-09,Balaji & Co,24684.02,Salary,Moong Dust
2024-05-16,Vasanth Stores,45855.56,Transport,Orid Polish
2024-10-03,Vasanth Stores,47529.43,Transport,Toor Dhall
2025-02-18,Vasanth Stores,36846.07,Transport,Toor Dhall
2024-07-21,Balaji & Co,50056.68,Packing,Orid Dust
2024-06-14,Balaji & Co,34323.62,Transport,Moong Dhall
2025-01-17,Vasanth Stores,16658.63,Salary,Toor Dust
2024-07-06,Balaji & Co,68065.92,Transport,Orid Polish
2024-09-07,Balaji & Co,100000,Transport,Toor Dhall
2024-04-21,Amman Agencies,34983.48,Transport,Orid Dust
2025-03-15,Balaji & Co,17157.83,Transport,Moong Dhall
2024-09-08,Amman Agencies,87068.14,Transport,Orid Polish
2025-03-26,Ganesh Suppliers,18255.65,Transport,Moong Dhall
2024-05-02,Ganesh Suppliers,47494.35,Packing,Orid Dhall
2024-06-07,Balaji & Co,33479.34,Salary,Moong Dhall
2024-07-19,Ganesh Suppliers,80018.0,Maintenance,Toor Dust
2024-07-17,Vasanth Stores,40307.9,Salary,Moong Dust
2024-06-07,Ganesh Suppliers,39983.08,Packing,Moong Dhall
2024-05-02,Sri Traders,55063.76,Transport,Toor Dhall
2024-05-17,Balaji & Co,47450.0,Packing,Orid Polish
2024-05-14,Sri Traders,65616.82,Transport,Toor Dhall
2024-12-26,Sri Traders,11435.8,Maintenance,Moong Dhall
2024-06-15,Vasanth Stores,51765.89,Salary,Orid Dust
2024-07-07,Balaji & Co,67200.0,Transport,Toor Dust
2025-03-25,Ganesh Suppliers,27368.58,Salary,Orid Polish
2024-04-20,Vasanth Stores,45149.36,Transport,Orid Polish
2024-04-27,Sri Traders,39407.49,Packing,Orid Dhall
2024-11-17,Balaji & Co,31720.5,Packing,Toor Dust
2024-10-20,Balaji & Co,51263.49,Transport,Toor Dust
2024-10-31,Vasanth Stores,58451.99,Salary,Toor Dhall
2024-10-19,Sri Traders,36799.36,Packing,Toor Dust
2024-08-26,Vasanth Stores,99745.58,Transport,Orid Polish
2024-09-21,Sri Traders,98844.74,Office Supplies,Toor Dhall
2024-09-09,Ganesh Suppliers,82712.25,Salary,Toor Dhall
2024-05-07,Sri Traders,67687.4,Packing,Toor Dhall
2024-12-02,Vasanth Stores,8924.01,Packing,Moong Dust
2024-08-07,Sri Traders,73898.27,Transport,Orid Dust
2024-08-23,Ganesh Suppliers,42243.14,Packing,Moong Dust
2024-12-05,Sri Traders,13773.45,Office Supplies,Orid Polish
2025-03-01,Sri Traders,26482.11,Packing,Toor Dust
2024-08-25,Ganesh Suppliers,92015.72,Transport,Orid Polish
2024-07-20,Amman Agencies,72318.51,Salary,Orid Dhall
2024-08-19,Sri Traders,47042.71,Office Supplies,Moong Dust
2025-03-23,Sri Traders,22602.95,Packing,Orid Dust
2024-07-12,Sri Traders,66630.46,Maintenance,Orid Dhall
2024-05-11,Amman Agencies,48432.76,Transport,Orid Dust
2024-10-26,Sri Traders,47237.59,Packing,Toor Dhall
2024-10-08,Vasanth Stores,45513.23,Maintenance,Toor Dhall
2024-08-16,Balaji & Co,100000,Transport,Toor Dhall
2025-03-18,Balaji & Co,15096.21,Maintenance,Moong Dust
2024-08-20,Ganesh Suppliers,100000,Transport,Toor Dhall
2024-10-15,Vasanth Stores,36006.26,Maintenance,Orid Polish
2024-07-23,Amman Agencies,77959.75,Transport,Toor Dust
2025-02-26,Balaji & Co,23893.42,Transport,Orid Dust
2024-05-29,Sri Traders,51421.4,Salary,Toor Dust
2024-04-10,Balaji & Co,51596.51,Transport,Toor Dhall
2024-06-02,Balaji & Co,52740.42,Salary,Orid Dhall
2024-08-29,Ganesh Suppliers,97226.24,Transport,Toor Dust
2024-12-19,Balaji & Co,20024.95,Office Supplies,Toor Dhall
2024-04-30,Balaji & Co,54753.48,Packing,Toor Dhall
2024-09-17,Vasanth Stores,78596.54,Packing,Orid Dust
2024-08-27,Amman Agencies,100000,Packing,Toor Dhall
2024-11-30,Balaji & Co,35546.16,Salary,Toor Dust
2024-10-28,Ganesh Suppliers,19696.98,Transport,Moong Dust
