Date,Party Name,Qty,Rate,Amount,Product,Cost,Profit
2024-11-26,Vasanth Stores,21.69,8323.3,180532.38,Toor Dhall,8068,5537.46
2024-04-07,Ganesh Suppliers,4.89,6832.1,33408.97,Toor Dust,6527,1491.94
2024-04-17,Sri Traders,2.1,9371.64,19680.44,Toor Dhall,8951,883.34
2024-10-08,Ganesh Suppliers,7.24,3777.81,27351.34,Moong Dust,3757.95,143.78
2024-10-14,Ganesh Suppliers,18.0,3722.79,67010.22,Moong Dhall,3598,2246.22
2024-09-16,Ganesh Suppliers,5.39,5678.17,30605.34,Orid Dhall,5434,1316.08
2024-05-01,Balaji & Co,10.5,5538.2,58151.1,Orid Dhall,5187,3687.6
2024-06-17,Balaji & Co,16.45,3794.27,62415.74,Moong Dhall,3575,3606.99
2024-11-21,Balaji & Co,8.84,7145.89,63169.67,Orid Polish,6768,3340.55
2024-07-14,Balaji & Co,11.59,6120.42,70935.67,Orid Dhall,5779,3957.06
2024-07-09,Sri Traders,3.24,7231.94,23431.49,Toor Dust,6892,1101.41
2024-05-08,Amman Agencies,4.95,6443.91,31897.35,Orid Dust,6346.2,483.66
2025-01-21,Balaji & Co,10.05,4114.87,41354.44,Moong Dhall,3866,2501.14
2024-07-21,Ganesh Suppliers,10.77,4462.13,48057.14,Moong Dhall,4469.85,-83.14
2025-03-01,Vasanth Stores,8.76,6612.74,57927.6,Orid Dhall,6370,2126.4
2025-01-08,Amman Agencies,23.96,4456.25,106771.75,Moong Dhall,4169,6882.51
2025-02-01,Amman Agencies,2.68,3941.88,10564.24,Moong Dhall,3777,441.88
2024-06-27,Vasanth Stores,2.48,6114.77,15164.63,Orid Dust,5899,535.11
2025-01-05,Balaji & Co,3.34,8672.85,28967.32,Toor Dust,8186,1626.08
2024-04-06,Ganesh Suppliers,21.31,3766.53,80264.75,Moong Dhall,3553,4550.32
2024-10-27,Vasanth Stores,3.32,5862.57,19463.73,Orid Polish,5953.5,-301.89
2024-10-22,Sri Traders,9.64,6114.62,58944.94,Orid Dhall,5783,3196.82
2024-07-16,Ganesh Suppliers,7.85,3205.64,25164.27,Moong Dust,3097,852.82
2024-10-20,Ganesh Suppliers,14.4,5867.04,84485.38,Orid Polish,5528,4882.18
2025-02-14,Balaji & Co,0.85,3490.14,2966.62,Moong Dust,3455.55,29.4
2024-09-13,Amman Agencies,2.2,4006.59,8814.5,Moong Dust,3818,414.9
2024-07-07,Sri Traders,4.86,3808.29,18508.29,Moong Dhall,3616,934.53
2024-10-02,Amman Agencies,15.01,6755.72,101403.36,Orid Polish,6443,4693.93
2024-04-21,Sri Traders,1.42,6220.03,8832.44,Orid Dust,5902,451.6
2024-11-06,Ganesh Suppliers,4.59,3266.27,14992.18,Moong Dust,3153,519.91
2024-11-10,Amman Agencies,14.53,5858.97,85130.83,Orid Dhall,5657,2934.62
2024-06-12,Amman Agencies,1.74,3393.87,5905.33,Moong Dust,3243,262.51
2024-08-01,Sri Traders,0.91,7024.45,6392.25,Orid Polish,6700,295.25
2024-06-18,Vasanth Stores,0.82,7900.02,6478.02,Toor Dust,7664,193.54
2024-10-21,Amman Agencies,1.86,7513.21,13974.57,Toor Dhall,7159,658.83
2024-08-06,Ganesh Suppliers,18.83,3875.5,72975.66,Moong Dhall,3717,2984.55
2025-02-07,Vasanth Stores,16.97,3739.79,63464.24,Moong Dhall,3693.9,778.76
2024-08-28,Sri Traders,11.31,7126.2,80597.32,Orid Polish,6879,2795.83
2024-10-24,Sri Traders,7.36,6359.46,46805.63,Orid Dhall,5981,2785.47
2024-06-12,Balaji & Co,5.92,6499.15,38474.97,Orid Dust,6128,2197.21
2024-09-28,Amman Agencies,3.87,3910.43,15133.36,Moong Dust,3715,756.31
2025-01-31,Sri Traders,1.8,8120.09,14616.16,Toor Dust,7820,540.16
2024-04-14,Amman Agencies,10.9,6591.27,71844.84,Orid Polish,6182,4461.04
2024-10-13,Vasanth Stores,3.12,5813.7,18138.74,Orid Dust,5437,1175.3
2024-04-10,Sri Traders,24.27,4037.81,97997.65,Moong Dhall,3787,6087.16
2024-10-19,Sri Traders,0.76,7565.27,5749.61,Toor Dhall,7325,182.61
2024-07-08,Vasanth Stores,3.96,3709.5,14689.62,Moong Dust,3593,461.34
2025-01-30,Vasanth Stores,24.95,5388.24,134436.59,Orid Dhall,5153,5869.24
2024-10-30,Vasanth Stores,1.42,6311.0,8961.62,Orid Polish,6024,407.54
2024-10-05,Balaji & Co,8.37,3962.19,33163.53,Moong Dhall,3742,1842.99
2024-09-17,Vasanth Stores,1.2,4333.07,5199.68,Moong Dhall,4176,188.48
2024-07-06,Balaji & Co,1.92,9149.88,17567.77,Toor Dhall,8981.7,322.91
2024-07-19,Balaji & Co,21.21,8224.66,174445.04,Toor Dhall,7748,10109.96
2024-07-02,Sri Traders,2.57,7784.16,20005.29,Toor Dust,7409,964.16
2024-11-02,Balaji & Co,7.88,3189.76,25135.31,Moong Dust,3008,1432.27
2024-11-15,Balaji & Co,3.13,5957.54,18647.1,Orid Dust,5728,718.46
2024-08-08,Balaji & Co,3.27,4003.0,13089.81,Moong Dust,3825,582.06
2024-11-30,Sri Traders,4.92,6584.55,32395.99,Toor Dust,6218,1803.43
2024-10-31,Sri Traders,24.57,8910.05,218919.93,Toor Dhall,8528,9386.97
2024-07-09,Vasanth Stores,22.94,5843.8,134056.77,Orid Polish,5514,7565.61
2024-12-21,Amman Agencies,7.32,3382.71,24761.44,Moong Dust,3271,817.72
2024-08-16,Vasanth Stores,6.87,7546.08,51841.57,Toor Dust,7217,2260.78
2024-04-06,Balaji & Co,15.25,8240.06,125660.91,Toor Dhall,7752,7442.91
2024-04-20,Sri Traders,6.76,4000.6,27044.06,Moong Dhall,3785,1457.46
2024-06-03,Amman Agencies,4.04,6036.68,24388.19,Orid Dhall,5820,875.39
2024-09-05,Ganesh Suppliers,1.52,6909.85,10502.97,Toor Dust,6653,390.41
2024-08-03,Vasanth Stores,7.07,3694.31,26118.77,Moong Dhall,3538,1105.11
2024-07-10,Sri Traders,16.04,7765.96,124566.0,Toor Dhall,7275,7875.0
2024-08-23,Sri Traders,5.71,4159.84,23752.69,Moong Dhall,3999,918.4
2024-07-05,Balaji & Co,14.04,8837.91,124084.26,Toor Dhall,8425,5797.26
2024-11-20,Amman Agencies,1.96,5746.09,11262.34,Orid Polish,5416,646.98
2025-03-06,Sri Traders,7.07,7954.0,56234.78,Toor Dhall,7658,2092.72
2024-08-14,Amman Agencies,4.56,5796.46,26431.86,Orid Polish,5562,1069.14
2024-09-08,Vasanth Stores,23.66,6548.69,154942.01,Orid Polish,6161,9172.75
2024-08-21,Ganesh Suppliers,4.95,7206.6,35672.67,Toor Dust,6986,1091.97
2025-01-11,Amman Agencies,2.3,7435.23,17101.03,Toor Dust,7023,948.13
2024-07-20,Sri Traders,19.74,6079.98,120018.81,Orid Dhall,5840,4737.21
2024-07-14,Balaji & Co,18.22,4541.8,82751.6,Moong Dhall,4299,4423.82
2024-08-06,Sri Traders,19.84,8762.97,173857.32,Toor Dhall,8198,11209.0
2024-06-11,Sri Traders,14.71,9374.62,137900.66,Toor Dhall,8996,5569.5
2024-08-20,Amman Agencies,2.85,8402.26,23946.44,Toor Dust,8092,884.24
2025-01-07,Vasanth Stores,21.51,7839.92,168636.68,Toor Dhall,7462,8129.06
2024-07-24,Ganesh Suppliers,2.3,6537.22,15035.61,Orid Dhall,6305,534.11
2024-07-12,Sri Traders,1.61,5726.54,9219.73,Orid Polish,5382,554.71
2024-07-13,Ganesh Suppliers,20.02,8290.27,165971.21,Toor Dhall,7808,9655.05
2024-04-20,Balaji & Co,4.83,5609.78,27095.24,Orid Dust,5444,800.72
2024-11-29,Balaji & Co,4.35,3548.94,15437.89,Moong Dust,3336,926.29
2024-04-09,Balaji & Co,19.08,3706.25,70715.25,Moong Dhall,3515,3649.05
2024-05-29,Ganesh Suppliers,5.64,5858.11,33039.74,Orid Polish,5609,1404.98
2025-01-17,Ganesh Suppliers,9.06,5791.68,52472.62,Orid Polish,5537,2307.4
2024-07-08,Vasanth Stores,4.5,6952.48,31286.16,Toor Dust,6662,1307.16
2024-10-30,Ganesh Suppliers,23.4,4374.49,102363.07,Moong Dhall,4223,3544.87
2024-05-02,Vasanth Stores,13.66,5619.59,76763.6,Orid Polish,5268,4802.72
2024-04-15,Vasanth Stores,1.75,8104.14,14182.25,Toor Dhall,7760,602.25
2024-07-04,Amman Agencies,6.45,7808.37,50363.99,Toor Dust,7548,1679.39
2024-04-06,Balaji & Co,4.43,3215.88,14246.35,Moong Dust,3017,881.04
2024-11-04,Sri Traders,3.89,8327.26,32393.04,Toor Dhall,8063,1027.97
2024-10-20,Balaji & Co,2.64,6431.52,16979.21,Orid Polish,6021,1083.77
2024-05-26,Amman Agencies,23.56,6617.78,155914.9,Orid Dhall,6309,7274.86
2024-10-13,Amman Agencies,22.58,8870.78,200302.21,Toor Dhall,8427,10020.55
2024-10-21,Sri Traders,4.43,4152.9,18397.35,Moong Dust,3994,703.93
2024-06-22,Sri Traders,2.71,3406.35,9231.21,Moong Dust,3288,320.73
2024-07-11,Balaji & Co,6.59,8103.77,53403.84,Toor Dust,7674,2832.18
2024-08-04,Sri Traders,4.95,6039.32,29894.63,Orid Dust,5725,1555.88
2024-10-04,Sri Traders,15.18,6827.12,103635.68,Orid Dhall,6388,6665.84
2024-06-12,Balaji & Co,14.79,7491.17,110794.4,Toor Dhall,7188,4483.88
2024-10-20,Sri Traders,6.85,8537.4,58481.19,Toor Dust,8180,2448.19
2024-08-16,Amman Agencies,5.03,6098.93,30677.62,Orid Dust,5824,1382.9
2024-08-28,Balaji & Co,17.03,4771.85,81264.61,Moong Dhall,4715.55,958.79
2024-06-30,Vasanth Stores,7.76,7099.1,55089.02,Toor Dust,6668,3345.34
2024-11-18,Amman Agencies,4.45,6396.23,28463.22,Orid Polish,6036,1603.02
2024-09-29,Vasanth Stores,21.47,4048.81,86927.95,Moong Dhall,3862,4010.81
2024-09-26,Ganesh Suppliers,5.27,4277.9,22544.53,Moong Dhall,4114,863.75
2024-05-25,Amman Agencies,24.34,3753.37,91357.03,Moong Dhall,3523,5607.21
2025-01-19,Sri Traders,2.1,3838.18,8060.18,Moong Dust,3901.8,-133.6
2025-01-30,Amman Agencies,0.77,7242.69,5576.87,Toor Dust,6885,275.42
2024-06-10,Vasanth Stores,24.82,8582.68,213022.12,Toor Dhall,8277,7586.98
2024-06-22,Balaji & Co,2.79,4336.27,12098.19,Moong Dhall,4083,706.62
2024-06-09,Sri Traders,4.77,6692.17,31921.65,Orid Polish,6316,1794.33
2024-07-13,Vasanth Stores,18.38,5263.71,96746.99,Orid Dhall,5107,2880.33
2024-05-10,Amman Agencies,4.51,6071.35,27381.79,Orid Dust,5780,1313.99
2024-08-06,Ganesh Suppliers,4.12,3531.41,14549.41,Moong Dust,3582.6,-210.9
2024-08-01,Sri Traders,11.11,7810.33,86772.77,Toor Dhall,7320,5447.57
2024-11-09,Balaji & Co,4.08,7064.37,28822.63,Toor Dust,6621,1808.95
2025-01-18,Sri Traders,5.69,6802.99,38709.01,Orid Polish,6588,1223.29
2024-04-20,Amman Agencies,14.04,4456.05,62562.94,Moong Dhall,4320,1910.14
2025-01-24,Balaji & Co,6.65,6105.78,40603.44,Orid Dust,5783,2146.49
2025-01-20,Ganesh Suppliers,17.24,4087.64,70470.91,Moong Dhall,3914,2993.55
2024-04-05,Sri Traders,6.83,7642.06,52195.27,Toor Dhall,7377,1810.36
2024-05-08,Vasanth Stores,10.12,8537.28,86397.27,Toor Dhall,8186,3554.95
2024-09-12,Amman Agencies,10.18,5945.78,60528.04,Orid Polish,5626,3255.36
2024-09-10,Ganesh Suppliers,21.18,7980.36,169024.02,Toor Dhall,7625,7526.52
2024-07-15,Vasanth Stores,17.32,5609.44,97155.5,Orid Polish,5281,5688.58
2024-12-26,Sri Traders,7.65,3786.08,28963.51,Moong Dust,3656,995.11
2024-04-22,Amman Agencies,2.28,7847.7,17892.76,Toor Dust,7499,795.04
2025-01-01,Amman Agencies,15.7,4051.38,63606.67,Moong Dhall,3890,2533.67
2024-04-21,Vasanth Stores,6.29,5353.45,33673.2,Orid Dhall,5160,1216.8
2024-07-10,Ganesh Suppliers,5.01,3432.9,17198.83,Moong Dust,3240,966.43
2024-11-06,Balaji & Co,6.82,5622.08,38342.59,Orid Dust,5421,1371.37
2025-02-05,Balaji & Co,6.24,7219.73,45051.12,Orid Polish,6933,1789.2
2024-04-30,Vasanth Stores,3.84,4096.51,15730.6,Moong Dhall,3915,697.0
2024-06-15,Amman Agencies,18.09,5645.08,102119.5,Orid Polish,5364,5084.74
